sentence	spoiler	verb	page	trope	genre
 Kate + Eight  visited as a surprise for Kate; Guy Fieri came in for an episode of  Diners, Drive-ins and Dives  on Baltimore and Duff treated him to a giant cake shaped like a giant hamburger; Geof and Duff made an anniversary cake for  King of the Hill  and had cameos on the show; the crew traveled to Hawaii to  simultaneously  work on cakes for  Lost 's wrap party and a US military base (both groups loved it).	False	True 0	AceOfCakes	CrossOver	Reality-TV
Is that where the puppet-versions of the bakers in the  Lost  episode came from?	False	True 0	AceOfCakes	CrossOver	Reality-TV
He also competed on  Chopped Tournament , where he   was chopped in the appetizer round .	True	True 0	AceOfCakes	CrossOver	Reality-TV
Which is totally cheating, Geof is deadpan everything.	False	True 0	AceOfCakes	DeadpanSnarker	Reality-TV
Mostly the older cakes.	False	True 0	AceOfCakes	EverythingsBetterWithSparkles	Reality-TV
The chef treated Duff and Geoff to a  pig face sandwich  for breakfast, which Duff tore into while poor Geoff seemed like  he was only eating to be polite .	False	True 0	AceOfCakes	LondonTown	Reality-TV
Even his mom calls him Duff on the show.	False	True 0	AceOfCakes	OneSteveLimit	Reality-TV
"Came full circle when Duff and the Charm City Cakes staff themselves were judges of a  Food Network Challenges  episode, where the theme was, appropriately enough, ""Extreme Cakes."	False	True 0	AceOfCakes	SerialEscalation	Reality-TV
"""You (the puppet bakers) aren't working out, I'm bumping you to the minor leagues""    Stuffed in a box  with a ""Jersey Or Bust"" sign (if they really went there, they'd be returned covered in flour and dipped in icing)."	False	True 0	AceOfCakes	ShoutOut	Reality-TV
"This meant that not only did it have to look a little busted-up but also match the ""painterly"" style of the show, which went against the shop's no-visible-brushstrokes ideal."	False	True 0	AceOfCakes	StarWarsCloneWars	Reality-TV
They were able to do everything aside from getting R2's head to turn - it was beyond Duff's engineering skills but fortunately a handyman at Skywalker Ranch was able to rig up a little something and save the day.	False	True 0	AceOfCakes	StarWarsCloneWars	Reality-TV
 /  Close Enough Timeline Parodied in the final  Back to the Future -themed episode where  screwing around with the bakery's flux capacitor caused the bakers to become office workers, bugs, and random haz-mat suit (really painter's suits) wearers.	True	True 0	AceOfCakes	TimeTravel	Reality-TV
Really  screwing up the flux capacitor caused Geof and Duff to become workers at a cake box factory .	True	True 0	AceOfCakes	TimeTravel	Reality-TV
: Mary Alice:  The customer asks for ten, Duff will give them eleven.	False	True 0	AceOfCakes	UpToEleven	Reality-TV
 and a loose adaptation of  Alice's Adventures in Wonderland , which ran on the  Disney Channel  from 1991 to 1995.	False	True 0	AdventuresInWonderland	KidCom	Comedy Family Fantasy
Even after she returns in the middle of the charade.	False	True 0	AdventuresInWonderland	KarmaHoudini	Comedy Family Fantasy
"In ""Her-story in the Making"", Alice tries getting her Wonderland friends to write a story for her school assignment for her."	False	True 0	AdventuresInWonderland	TooManyCooks	Comedy Family Fantasy
This show provides examples of:   Fawlty Towers Plot	False	True 0	AfterLately	TheOffice	Comedy
Anyway, the result is essentially the same show as  M*A*S*H  except without the war.	False	True 0	AfterMASH	Mash.html	Comedy
T's signature mohawk, theorizing that  After MASH  would take a large portion of  The A-Team 's audience.	False	True 0	AfterMASH	ScrewedByTheNetwork	Comedy
The theory, of course, was proven wrong.	False	True 0	AfterMASH	ScrewedByTheNetwork	Comedy
In addition to its own  Afterschool Special , ABC aired a  Weekend Special  from 1977-1997, although these were far less heavy-handed and moreso adaptations of children's stories.	False	True 0	AfterschoolSpecial	VerySpecialEpisode	Comedy Short
  Donnie  by the end of the episode in which the adoption is revealed, it seems.	True	True 0	AgainstTheWall	HappilyAdopted	Drama
Brody and Richie are this earlier in the season before Brody and Abby's  Relationship Reveal .	False	True 0	AgainstTheWall	HeterosexualLifePartners	Drama
An investigation of a brawl at a wedding turns into a   rape investigation .	True	True 0	AgainstTheWall	MinorCrimeRevealsMajorPlot	Drama
Played fairly realistically in that she does not really get into the action too much, but she never backs down and she still her detective-smarts.	False	True 0	AgainstTheWall	PregnantBadass	Drama
Then later in another episode its a case of  Well Done Son Guy  as her older brother, Donnie, is portrayed as constantly seeking his father's approval and pride.	False	True 0	AgainstTheWall	WellDoneSonGuy	Drama
"   played straight in ""Todesfahrt der Linie 834""; subverted in ""Tulpen aus Amsterdam"", where the folks on the bus were part of the conspiracy"	False	True 0	AlarmFuerCobra11	BusFullOfInnocents	Action Crime Drama
   In nearly every episode, at least one  Dienstwagen  (official vehicle) usually Semir's 3-series BMW or his partner's E-Class Mercedes is demolished.	False	True 0	AlarmFuerCobra11	LampshadeHanging	Action Crime Drama
") The truck is lettered for a fictional company, "" Atalay  GMBH""."	False	True 0	AlarmFurCobra11	ActorAllusion	Action Crime Drama
   often done with a car	False	True 0	AlarmFurCobra11	UnderTheTruck	Action Crime Drama
"Semir investigates the murder of one of the teachers from his old high school; because his usual partner (Chris Ritter) is in the hospital, he's paired up with an older officer (Diether Bonrath) who does things the ""old school"" way."	False	True 0	AlarmFurCobra11	DoubleMeaningTitle	Action Crime Drama
You'll often see a plot development coming up behind them.	False	True 0	AlarmFurCobra11	MeaningfulBackgroundEvent	Action Crime Drama
   the big  Chase Scene , with cars crashing and flying through the air and  Impressive Pyrotechnics  from all the  Stuff Blowing Up	False	True 0	AlarmFurCobra11	OnceAnEpisode	Action Crime Drama
This series contains examples of:   Action Girl Rebecca.	False	True 0	Alcatraz	JJAbrams	Action Crime Drama Mystery Thriller
By the end of the first season, it would appear that   Warden James  is the one behind the disappearances and returns.	True	True 0	Alcatraz	BigBad	Action Crime Drama Mystery Thriller
Except Hauser is the kind of asshole.	False	True 0	Alcatraz	BlackAndGreyMorality	Action Crime Drama Mystery Thriller
The end of the first season is this, ending with Rebecca on the operating table and flatlining.	True	True 0	Alcatraz	Cliffhanger	Action Crime Drama Mystery Thriller
Whoops, make that  the end of the series .	True	True 0	Alcatraz	Cliffhanger	Action Crime Drama Mystery Thriller
He lets Cobb stay in solitary indefinately, but   puts another inmate who can't shut up in the same cell as him .	True	True 0	Alcatraz	CoolAndUnusualPunishment	Action Crime Drama Mystery Thriller
He started killing people as revenge.	False	True 0	Alcatraz	DeadlyPrank	Action Crime Drama Mystery Thriller
In the present day,   Tommy Madsen  seems to serve as this to   the Warden .	True	True 0	Alcatraz	TheDragon	Action Crime Drama Mystery Thriller
Paxton Petty stole Silver Star medals from the graves of dead soldiers to use as shrapnel in his landmines.	False	True 0	Alcatraz	GraveRobbing	Action Crime Drama Mystery Thriller
Subverted when we find out he's actually Tommy Madsen's brother, which makes him Rebecca's great uncle by blood .	True	True 0	Alcatraz	HonoraryUncle	Action Crime Drama Mystery Thriller
She seems more intrigued then anything else though.	False	True 0	Alcatraz	LukeIAmYourFather	Action Crime Drama Mystery Thriller
The US federal government, unwilling to disclose that the most successful prison break in  recorded history  occurred in 1963, released an official explanation for the closing of Alcatraz and created fake transfers to other prisons (signed by Robert Kennedy himself), then later issued fake death certificates saying they all died at the prisons they were transferred to.	False	True 0	Alcatraz	TheMasquerade	Action Crime Drama Mystery Thriller
Hauser and Lucy, they were involved, but when she disappeared as a '63, Hauser was forced to take  The Slow Path .	True	True 0	Alcatraz	MayDecemberRomance	Action Crime Drama Mystery Thriller
Episode 2 reveals that   Lucy was at Alcatraz in 1963, under the name Lucille Sengupta .	True	True 0	Alcatraz	TheReveal	Action Crime Drama Mystery Thriller
Beauregard is revealed to be working for Hauser and, like Lucy, to not have aged since the 60's.	True	True 0	Alcatraz	TheReveal	Action Crime Drama Mystery Thriller
Episode 4;  Those keys the prisoners were looking for were cut with anachronistic lasers, and they open a vault under the island that certain prisoners were sent to before they all vanished.	True	True 0	Alcatraz	TheReveal	Action Crime Drama Mystery Thriller
Episode 5:   Ray really is Rebecca's uncle, and he's been in contact with her grandfather.	True	True 0	Alcatraz	TheReveal	Action Crime Drama Mystery Thriller
It's entirely possible that Ernest Cobb would have happily spent the rest of his life at Alcatraz in solitary, a threat to no-one... except the warden found it necessary to screw with him until he completely lost his mind,  just so he could call in Lucille Sengupta, AKA  Lucy Banerjee  for some as-of-yet undisclosed purpose.	True	True 0	Alcatraz	ScrewTheRulesIMakeThem	Action Crime Drama Mystery Thriller
:  Cobb first appears to be killing randomly, until Rebecca figures out that he kills random people in order to conceal his real targets:   15-16 year old girls, like the sister he was resentful of because their mom took care of her but abandoned him at an orphanage.	False	True 0	Alcatraz	ThemeSerialKiller	Action Crime Drama Mystery Thriller
He also kills crows as a calling card.	True	True 0	Alcatraz	ThemeSerialKiller	Action Crime Drama Mystery Thriller
Kit Nelson is also this,   kidnapping and killing 11 year old boys, the same age as his brother when Kit killed him.	True	True 0	Alcatraz	ThemeSerialKiller	Action Crime Drama Mystery Thriller
He kidnaps them on a Friday, leaves behind a chrysanthemum in the bed, then returns the dead body Sunday evening.	True	True 0	Alcatraz	ThemeSerialKiller	Action Crime Drama Mystery Thriller
Clarence Montgomery  was  turned  into this by Dr.	True	True 0	Alcatraz	ThemeSerialKiller	Action Crime Drama Mystery Thriller
Though he was wrongfully convicted of killing his white girlfriend, Dr.	True	True 0	Alcatraz	ThemeSerialKiller	Action Crime Drama Mystery Thriller
Beauregard used a reversed version of Dr.	True	True 0	Alcatraz	ThemeSerialKiller	Action Crime Drama Mystery Thriller
Sengupta's treatments to  make  him kill people in the same manner as which she died.	True	True 0	Alcatraz	ThemeSerialKiller	Action Crime Drama Mystery Thriller
Hauser, noted by Lucy who worries how much he's changed since she knew him in '63     Lucy Try not to  shoot  anyone!	True	True 0	Alcatraz	TookALevelInJerkass	Action Crime Drama Mystery Thriller
 television series presented by famed thriller director  Alfred Hitchcock .	False	True 0	AlfredHitchcockPresents	GenreAnthology	Crime Drama Mystery
"In the episode ""Bull in a China Shop"", Hitchcock apologizes for the fact that the story features neither a bull nor a china shop."	False	True 0	AlfredHitchcockPresents	ExactlyWhatItSaysOnTheTin	Crime Drama Mystery
Unfortunatly by the third break she is gone.	False	True 0	AlfredHitchcockPresents	OurMermaidsAreDifferent	Crime Drama Mystery
Unusual for its willingness to embrace a fanciful  Story Arc  about a centuries-old prophecy.	False	True 0	Alias	ClicheStorm	Action Drama Mystery Sci-Fi Thriller
And apparently the global intelligence community has nothing better to do than go to war over every piece of technology he might have even glanced at.	False	True 0	Alias	ClicheStorm	Action Drama Mystery Sci-Fi Thriller
So Elena is supposed to be Russian?	False	True 0	Alias	AmbiguouslyBrown	Action Drama Mystery Sci-Fi Thriller
Luckily, his body fell into a vat of special Rambaldi liquid that healed his wounds and brought him back to life .	True	True 0	Alias	BackFromTheDead	Action Drama Mystery Sci-Fi Thriller
He was stuck under a collapsed pillar when Jack blew himself up .	True	True 0	Alias	BackFromTheDead	Action Drama Mystery Sci-Fi Thriller
"Also, the two-part episode in season 2, ""Passage"", where   Irina goes undercover with Jack and Sydney to India as a family of tourists to recover six stolen nuclear warheads , is a badass family vacation if there ever was one."	True	True 0	Alias	BadAssFamily	Action Drama Mystery Sci-Fi Thriller
Jack grows one during   the year that he was held in solitary confinement for working with unsanctioned sources to learn the truth behind his daughter's apparent death .	True	True 0	Alias	BeardOfSorrow	Action Drama Mystery Sci-Fi Thriller
Sydney works for the government, but is abducted by criminals to perform certain high-risk jobs for them in Season 2 .	True	True 0	Alias	BoxedCrook	Action Drama Mystery Sci-Fi Thriller
In the Season 4 premiere, we learn that   Jack killed Irina offscreen  at some point between the Season 2 and Season 3 finales.	True	True 0	Alias	BusCrash	Action Drama Mystery Sci-Fi Thriller
Of course, this being  Alias , it later turns out that Jack actually killed  a ''double'' of Irina .	True	True 0	Alias	BusCrash	Action Drama Mystery Sci-Fi Thriller
Nadia, who discovers her parents are actually   Irina and Sloane .	True	True 0	Alias	ChangelingFantasy	Action Drama Mystery Sci-Fi Thriller
It also attracts a few other freelancers, such as Sark.	False	True 0	Alias	CityOfSpies	Action Drama Mystery Sci-Fi Thriller
  Irina  had the option of being saved   by her daughter , or grabbing the Horizon.	True	True 0	Alias	DeathByMaterialism	Action Drama Mystery Sci-Fi Thriller
She grabs the Horizon, completely ignoring the fact that  she's on an unstable and steadily cracking glass pane .	True	True 0	Alias	DeathByMaterialism	Action Drama Mystery Sci-Fi Thriller
He was fine until he left a message on her answering machine using a wiretapped line.	False	True 0	Alias	DeathByOriginStory	Action Drama Mystery Sci-Fi Thriller
If he'd only paid attention...	False	True 0	Alias	DeathByOriginStory	Action Drama Mystery Sci-Fi Thriller
They immediately start a Die Hard plan to eliminate the enemy spies.	False	True 0	Alias	DieHardOnAnX	Action Drama Mystery Sci-Fi Thriller
She easily could've avoided it though...	True	True 0	Alias	DisneyVillainDeath	Action Drama Mystery Sci-Fi Thriller
Most of the cast, at some point  Sydney and her father worked for the CIA, posed as SD-6 agents    Lauren  worked for the Covenant, but posed as an NSA agent  Sark is always claiming to work for someone or other, but is usually just out for himself	True	True 0	Alias	DoubleAgent	Action Drama Mystery Sci-Fi Thriller
There's dysfunctional and then there's the Bristow family.	False	True 0	Alias	DysfunctionJunction	Action Drama Mystery Sci-Fi Thriller
Fake Russian Sark is a Russian man with a  fake British accent  portrayed by American actor David Anders.	False	True 0	Alias	FakeNationality	Action Drama Mystery Sci-Fi Thriller
Turns out to be a  Xanatos Gambit  by Sloane himself and as part of it, his wife cut off her own finger and posted it to him.	True	True 0	Alias	FingerInTheMail	Action Drama Mystery Sci-Fi Thriller
Played with in respect to Emily Sloane, though ultimately   subverted, as Sloane was pulling this on  himself  and Emily was in on the con .	True	True 0	Alias	IHaveYourWife	Action Drama Mystery Sci-Fi Thriller
Being a love interest other than Vaughn seems to be deadly.	True	True 0	Alias	KilledOffForReal	Action Drama Mystery Sci-Fi Thriller
Passage I/II: Jack (and the audience) gets to see Irina Derevko in bra and panties, and she gives her 'husband' a good, long look.	False	True 0	Alias	LingerieScene	Action Drama Mystery Sci-Fi Thriller
"Played with, though, because   ""The Man"" is actually Irina, a woman ."	True	True 0	Alias	TheManBehindTheMan	Action Drama Mystery Sci-Fi Thriller
"Animal Motifs One of Sydney's call signs   after she returned from the ""dead""  was  ""Phoenix"" ; Jack's call signs are all birds (""Blackbird"" with SD-6, ""Raptor"" with the CIA)."	True	True 0	Alias	Motifs	Action Drama Mystery Sci-Fi Thriller
They wrote the character as American, cast an Australian who can do a serviceable American accent, and make her an American raised in England.	False	True 0	Alias	NotEvenBotheringWithTheAccent	Action Drama Mystery Sci-Fi Thriller
 Do not  mess with Sydney or you'll be dealing with Jack, and you will  not  be in good shape after.	False	True 0	Alias	PapaWolf	Action Drama Mystery Sci-Fi Thriller
In Season 2, halfway through,   Sydney and the CIA bring down the entire Alliance, including SD-6, Sydney starts to work for the  real  CIA in the open, and  her relationships with Vaughn, Sloane, Sark, and Dixon all change, and her relationships with her father and Marshall remain basically the same.	True	True 0	Alias	ReTool	Action Drama Mystery Sci-Fi Thriller
In Season 3,   after Sydney's 2-year memory hole, faked death, etc.	True	True 0	Alias	ReTool	Action Drama Mystery Sci-Fi Thriller
Sydney finds that Vaughn is   married , her dad   is in jail , Dixon   is the director of the LA office of the CIA , Sloane is   living in Europe as a philanthropist,  and other things.	True	True 0	Alias	ReTool	Action Drama Mystery Sci-Fi Thriller
The interesting thing is that all of the original characters are maintained (minus   Will and Francie ) despite all of the changes in the show.	True	True 0	Alias	ReTool	Action Drama Mystery Sci-Fi Thriller
The same might be said of any show, but in  Alias  all of the characters completely change teams at least once and repeatedly betray one another, some of them over and over, in ways that would destroy most real (and even most TV) relationships.	True	True 0	Alias	ReTool	Action Drama Mystery Sci-Fi Thriller
This how Sydney knows that   Francie  is an imposter.	True	True 0	Alias	SomethingTheyWouldNeverSay	Action Drama Mystery Sci-Fi Thriller
Sydney offers her some coffee ice cream, something the real   Francie  hated, and she accepts.	True	True 0	Alias	SomethingTheyWouldNeverSay	Action Drama Mystery Sci-Fi Thriller
Extra cool because   Jack gets to hook up with her .	True	True 0	Alias	SuspiciouslySimilarSubstitute	Action Drama Mystery Sci-Fi Thriller
This element is used more than fight sequences, as torture sequences involve less choreography.	False	True 0	Alias	ATorturedIndex	Action Drama Mystery Sci-Fi Thriller
He turned from sweet, mild mental patient to master-assassin upon completion of the piece.	False	True 0	Alias	TriggerPhrase	Action Drama Mystery Sci-Fi Thriller
"""  ""Syd... since that night...   you were missing."	True	True 0	Alias	WhamLine	Action Drama Mystery Sci-Fi Thriller
You've been missing for almost two years .	True	True 0	Alias	WhamLine	Action Drama Mystery Sci-Fi Thriller
And the people who live there   can make you forget your family and work for them, or simply drug you and drain you of your emotions to keep the local population under their control.	True	True 0	Alice2009	AdultFear	Adventure Drama Fantasy Sci-Fi
The bad guys kidnap people from our world   including  children  and drain them of their emotions,  Mooks  are sentenced to decapitation with frequency, and keep the populace in control with drugs.	True	True 0	Alice2009	BlackAndGreyMorality	Adventure Drama Fantasy Sci-Fi
  Dodo  just shoots  Hatter .	True	True 0	Alice2009	CombatPragmatist	Adventure Drama Fantasy Sci-Fi
Luckily,   Hatter  has a  Bulletproof Vest .	True	True 0	Alice2009	CombatPragmatist	Adventure Drama Fantasy Sci-Fi
When Charlie fires his crossbow toward the end, and  thinks  he   blows up the Hearts Casino  because the timing happens to be spot-on.	True	True 0	Alice2009	CorrelationCausationGag	Adventure Drama Fantasy Sci-Fi
I'd make the Hearts think I was working for them, while I fed their enemies.	False	True 0	Alice2009	DoubleAgent	Adventure Drama Fantasy Sci-Fi
Hatter effing earned that hug   and kiss  he got in the last scene, with all that he went through for Alice.	True	True 0	Alice2009	EarnYourHappyEnding	Adventure Drama Fantasy Sci-Fi
"The Queen of Hearts keeps the residents of Wonderland happy  and controlled  by harvesting positive emotions from captive humans and selling them to the populace as ""teas"" through ""Tea Shops"", like the one Hatter owns/operates."	True	True 0	Alice2009	EmotionEater	Adventure Drama Fantasy Sci-Fi
The dead   Winston King of Hearts, Carpenter/Robert Hamilton, Walrus, and potentially Agent White  are all men.	True	True 0	Alice2009	MenAreTheExpendableGender	Adventure Drama Fantasy Sci-Fi
Duchess  could have theoretically qualified for expendable because    Redemption Equals Death  but it was averted in her case.	True	True 0	Alice2009	MenAreTheExpendableGender	Adventure Drama Fantasy Sci-Fi
Somebody had to rescue  Jack	True	True 0	Alice2009	MenAreTheExpendableGender	Adventure Drama Fantasy Sci-Fi
And   The Carpenter's  Heel Face Turn , but that was more  paternal  love.	True	True 0	Alice2009	PowerOfLove	Adventure Drama Fantasy Sci-Fi
  Jack, quite literally, who also doubles as a  Runaway Fianc  from an  Arranged Marriage .	True	True 0	Alice2009	RebelliousPrincess	Adventure Drama Fantasy Sci-Fi
He fits better as a  Gender Flip  of  Rebellious Princess  than as a  Rebel Prince .	True	True 0	Alice2009	RebelliousPrincess	Adventure Drama Fantasy Sci-Fi
Why does the aerial transport look like a blend of a Vespa and a flamingo?	False	True 0	Alice2009	RuleOfCool	Adventure Drama Fantasy Sci-Fi
:  One of the last times we see the Duchess, she's wearing  Jane Fonda 's outfit from  Barbarella .	False	True 0	Alice2009	ShoutOut	Adventure Drama Fantasy Sci-Fi
Winston, the King of Hearts   is  Driven to Suicide .	True	True 0	Alice2009	StealthPun	Adventure Drama Fantasy Sci-Fi
The nickname of the card 'the king of hearts' is 'the suicide king'.	True	True 0	Alice2009	StealthPun	Adventure Drama Fantasy Sci-Fi
The Oysters are barefoot and that is what connects them to the  Lotus-Eater Machine .	True	True 0	Alice2009	StealthPun	Adventure Drama Fantasy Sci-Fi
Though not stated outright (at least as far as  I  remember), Hatter can punch hard enough to leave a small crater in a wall.	False	True 0	Alice2009	SuperStrength	Adventure Drama Fantasy Sci-Fi
  Dodo  actually  does , but  Hatter  is prepared.	True	True 0	Alice2009	WhyDontYouJustShootHim	Adventure Drama Fantasy Sci-Fi
  Dodo, about Hatter, after he shoots him.	True	True 0	Alice2009	YouHaveOutlivedYourUsefulness	Adventure Drama Fantasy Sci-Fi
Thankfully, it doesn't take.	True	True 0	Alice2009	YouHaveOutlivedYourUsefulness	Adventure Drama Fantasy Sci-Fi
  Jack  Heart  is engaged to Duchess the entire time he and Alice are dating.	True	True 0	Alice2009	YourCheatingHeart	Adventure Drama Fantasy Sci-Fi
 with a  Sitcom  twist: the minority partner is a space alien.	False	True 0	AlienNation	BuddyCopShow	Action Sci-Fi
The television series, based on the film  Alien Nation , lasted for 22 episodes from September, 1989 to May, 1990.	False	True 0	AlienNation	BuddyCopShow	Action Sci-Fi
They are extremely strong and can learn quickly.	False	True 0	AlienNation	BuddyCopShow	Action Sci-Fi
"George's name was originally ""Sam Francisco"", but he changed it at Matt's request."	False	True 0	AlienNation	BuddyCopShow	Action Sci-Fi
 Slag Like Me , an  Expanded Universe  novel in which a human reporter goes undercover as a Newcomer and reports on their experiences.	False	True 0	AlienNation	BlackLikeMe	Action Sci-Fi
  the cop who taught Matt in the force  frames George for stealing drugs.	True	True 0	AlienNation	BrokenPedestal	Action Sci-Fi
Unfortunately,  Matt and Cathy's child was unable to survive after being born, due to her mixed genetics .	True	True 0	AlienNation	ButICantBePregnant	Action Sci-Fi
" /  Tykebomb The Udara ""seeded"" sleeper agents to fight the Overseers during slavery, many of whom were children, including   Emily ."	True	True 0	AlienNation	ChildSoldiers	Action Sci-Fi
In the pilot, Emily is befriended by Molly, daughter of the Francisco's neighbor.	False	True 0	AlienNation	ChuckCunninghamSyndrome	Action Sci-Fi
After the series was canceled, the story was continued in a series of  Tie-In Novels .	False	True 0	AlienNation	Continuation	Action Sci-Fi
The yeast-fermented stuff that we humans prefer has no effect on them.	False	True 0	AlienNation	GRatedDrug	Action Sci-Fi
Tenctonese  erogenous zones are entirely different  from humans (shoulder blades, wrists, temples), enabling them to make out on network TV.	False	True 0	AlienNation	GRatedSex	Action Sci-Fi
Although they look moderately similar to humans, Tenctonese cannot metabolize cooked protein, so most of their diet consists of raw animals.	False	True 0	AlienNation	HumanOutsideAlienInside	Action Sci-Fi
Racism aside that's pretty damn impressive.	False	True 0	AlienNation	HumansAreBastards	Action Sci-Fi
a few, such as   the old Newcomer man who hunts down Overseers and kills them  and   the leader of the binnaums who has those who leave his order killed	True	True 0	AlienNation	KnightTemplar	Action Sci-Fi
Unusually for this trope, by the end of the episode one of the explanations is disproved   the robber had no mystical powers, he was just trying to get a chance to escape  we aren't given any sort of conclusive answer, aside from the rather lacklustre medical explanation.	True	True 0	AlienNation	MaybeMagicMaybeMundane	Action Sci-Fi
The Newcomers have great strength, stamina, durability, ability to survive in environments humans can't, extra hearts, and if they overdose on an  extraterrestrial   narcotic , they transform into  murderous, supercharged berserkers .	False	True 0	AlienNation	PunyEarthlings	Action Sci-Fi
"But wait, it gets better, when after getting her to come to his house, he goes to the next room to have a phone conversation in which he brags about how he's going to ""bag the slag""; Emily, like all Newcomers, has superhearing."	False	True 0	AlienNation	TooDumbToLive	Action Sci-Fi
Newcomer flesh dissolves on contact with  salt water .	False	True 0	AlienNation	WeaksauceWeakness	Action Sci-Fi
In the final movie, George and Susan have basically this argument about the Udara.	False	True 0	AlienNation	YourTerroristsAreOurFreedomFighters	Action Sci-Fi
The show ran from 1978 to 1980, had two  Christmas Episodes  in 1983 and 1985, and came back to run from 1988 to 1990, concluding with another Christmas Episode.	False	True 0	AllCreaturesGreatAndSmall	JamesHerriot	Comedy Drama Family
The  Theme Tune ,  Piano Parchment , is  particularly lovely .	False	True 0	AllCreaturesGreatAndSmall	JamesHerriot	Comedy Drama Family
Routinely lampshaded in the books when Herriot mentions that he doesn't doubt that the modern vet student will look at his descriptions of their treatments of the time and consider them to be unbelievably barbaric (lungworm, for example, was treated with turpentine squirted into the lungs).	False	True 0	AllCreaturesGreatAndSmall	AllNaturalSnakeOil	Comedy Drama Family
Calum has a badger!	False	True 0	AllCreaturesGreatAndSmall	CoolPet	Comedy Drama Family
Both are also genuinely likable personalities, in an eccentric way.	False	True 0	AllCreaturesGreatAndSmall	MisterMuffykins	Comedy Drama Family
The show is set in North Yorkshire, so thickly accented farmers in flat caps are the norm.	False	True 0	AllCreaturesGreatAndSmall	OopNorth	Comedy Drama Family
Is it any wonder that his coworkers ended up with the names  Siegfried and Tristan ?	False	True 0	AllCreaturesGreatAndSmall	ShoutOutThemeNaming	Comedy Drama Family
The impact of the show was such that it became the focus of a heated national debate on whether the use of comedy was an appropriate means by which to combat prejudice and social inequality.	False	True 0	AllInTheFamily	NostalgiaFilter	Comedy Drama
"However, in ""Lionel Steps Out,"" he puts Archie in his place (not too nicely) when he crosses the line and tries to stop him from dating his white niece."	False	True 0	AllInTheFamily	BewareTheNiceOnes	Comedy Drama
Even the Jeffersons were mentioned and appeared again after being spun-off.	False	True 0	AllInTheFamily	ChuckCunninghamSyndrome	Comedy Drama
Archie used to be one, and only could quit when Edith threatened to leave him.	False	True 0	AllInTheFamily	TheGamblingAddict	Comedy Drama
Was the first television show to feature a toilet flushing.	False	True 0	AllInTheFamily	GettingCrapPastTheRadar	Comedy Drama
He has a problem with religion and is outraged when Archie baptized his son behind his back, but in the long run Archie's the one who always picks fights with Mike about it.	False	True 0	AllInTheFamily	HollywoodAtheist	Comedy Drama
Archie's lodge is in trouble for not having any black or Jewish members.	False	True 0	AllInTheFamily	LoweredRecruitingStandards	Comedy Drama
So he suggests that they invite one black to join - Solomon Jackson.	False	True 0	AllInTheFamily	LoweredRecruitingStandards	Comedy Drama
And Archie and Edith travel West to visit the Stivics for Christmas in season 9.	False	True 0	AllInTheFamily	PutOnABus	Comedy Drama
"A more straight example happened in ""Stretch Cunningham, Goodbye"", where the titular recurring character dies and both Archie and the audience discovers he was Jewish."	False	True 0	AllInTheFamily	SuddenlyEthnicity	Comedy Drama
